Level ,Recommendations
2,Bigger library budget allocation should be provided to carryout the recommendations of the accreditor for the next level of accreditation.
2,"Staff development program should not be limited to training/seminar but extended to scholarship, educational tours, and exchange librarians program both local, national and international."
2,Library automation and integrated library systems should be given priority in the library budget.
2,The University/Chief Librarians should conduct an action/applied research for the improvement of the library service.
2,Subscription of journals per curriculum program should be given priority.
2,Acquisition of print and non-print information files and others should be updated.
2,"The card catalog, periodical index, information files and others should be updated."
2,Reading centers information materials should be classified and catalogued.
2,Theses/dissertations and non-print materials should be classified and catalogued.
2,Library Board Committee should be more functional in performing their duties.
2,Library manual should cover the library's internal administration and operational activities.
2,The library development plan should indicate the systematic and continuous programs and include the modern trends in the field of librarianships.
2,"Strategies should be looked into, to motivate the students to use the main library which is full of rich information resources both print and non-print, which are very useful in their studies and researches."
