Level,Recommendations
1,"1. Additional ay finding signs outside and inside the buildings must be provided. likewise, painting of pathways to match the existing old green is suggested."
1,2. provide appropriate facilities for persons with disability (PWD).
1,3. Finishing or plastering of the newly constructed wing of the college building is recommended.
1,4. Material Recovery Facility may be required to operate regularly.
1,"5. Regular / Annual pest control check can be done for maintenance of buildings, offices, classrooms and other important facilities."
1,6. Functional drinking facilities can be installed inside the college and indoor facilities for athletics.
1,7. College canteen can be improved or if the budget warrants construction of new building for food services to accommodate more students.
1,8. Comfort rooms should be maintained properly.
1,9. Landscaping of the open space and roofing of the stage are suggested to make it more functional.
1,10. Dedicated faculty lounge can be provided aside form the spaces inside the faculty rooms for the faculty to relax or received visitors.
1,11. Completion of the Powerhouse is suggested to provide better electrical services to the campus.
