Level,Recommendations
2,1. The staff or faculty members manning the different student services may consider the conduct of regular monitoring and evaluation of their respective assignments They may also disseminate and use the results for decision making and policy formulation/revision.
2,"2. The results of the evaluation and monitoring of the different activities in all student services may be collated, analyzed and come up with a research manuscript. Results could be input for decision-making and policy formulation/revision."
2,3. The monitoring and evaluation instruments for the student services may also be revised regularly and may be subjected for validation and reliability so as to gather and generate valid and reliable results.
2,4. The research agenda of the program under survey may include researches on student affairs.
2,5. Budget for research on student affairs may be allocated
2,6. The Administration may allocate funds for the Student Publication at the College level
2,7. The Administration may allocate funds for renovation and proper maintenance of the University Theater
2,8. A separate fully equipped guidance office for the university should be put up.
2,9. The manual enrolment procedure of the University may be changed to electronic data processing (EDP) system on-line to expedite processing
2,"10. The transportation alternatives such as ""ikot"" jeep may be considered to allow accessibility of students from moving from one building to another and to minimize their expenditures"
2,11. The conduct of microbial analysis of eating utensils of all canteens of the University may be proposed for safety and sanitation.
2,"12. The data on drop-out rate, transferees, and shifters may be analyzed as per recommendation of accreditors during the first survey visit."
2,13. Drinking fountains to provide students with ready potable water may be provided as per recommendation of accreditor during the first visit.
2,14. The University should hire a licensed guidance counselor
