Level,Recommendations
PSV,The site plant/vicinity map near the main gate of the campus should be installed.
PSV,The students' restrooms must be given due attention and priority in the College Clean and Green projects/activities.
PSV,"It is suggested to come up with a workable solution as to the provision of continuous and sustainable clean, safe and free potable water for the students."
PSV,It is suggested to continue the construction of covered path walks to connect closely related buildings.
PSV,"While the building in use was co structed for some other purposes, it may be nice to relocate some chalk board m some classrooms to allow better lighting and ventilation"
PSV,A system has to be devised to institutionalize the following:
PSV,"a. Potability test and drinking water, b. Pest control infections, c. Checking of electrical lines."
PSV,Segregation of wastes must be done from collection to disposal.
PSV,"Where appropriate, relevant supporting documents in terms of pictorials, communications, accomplishment reports/action plan, programs, listings duly signed, may be provided."
PSV,Room utilization guide should be posted near the entrance of the classroom.
