Level,Recommendations
2,bigger library budget allocation should be provided to carryout the recommendations of the accreditor for the next level of accreditation
2,staff development program should not be limited to trainingseminar but extended to scholarship educational tours and exchange librarians program both local national and international
2,library automation and integrated library systems should be given priority in the library budget
2,the universitychief librarians should conduct an actionapplied research for the improvement of the library service
2,subscription of journals per curriculum program should be given priority
2,acquisition of print and nonprint information files and others should be updated
2,the card catalog periodical index information files and others should be updated
2,reading centers information materials should be classified and catalogued
2,thesesdissertations and nonprint materials should be classified and catalogued
2,library board committee should be more functional in performing their duties
2,library manual should cover the librarys internal administration and operational activities
2,the library development plan should indicate the systematic and continuous programs and include the modern trends in the field of librarianships
2,strategies should be looked into to motivate the students to use the main library which is full of rich information resources both print and nonprint which are very useful in their studies and researches
