Level,Recommendations
psv,the administration should look into the possibility of reducing the teaching load of the faculty and to arrange their class schedules for them to be more effective and more efficient too long class hour schedules should be discouraged
psv,encourage the faculty to complete their relevant graduate courses
psv,a faculty development plan with corresponding budget allocation based on identified priorities and needs of the faculty should be prepared the support of the administration for faculty training and development should be strengthened
psv,to facilitate classroom instruction the faculty members are encouraged to come up with instructional materials that will also earn them points for promotion as required by nbc
psv,the distribution of equivalent teaching load should be reviewed this may be deliberated productively during faculty meetings to get feedbacks
psv,for easy reference consultation hours of faculty should be indicated in their program
psv,faculty members are encouraged to conduct relevant researches if the university budget permits incentives for faculty researchers may be granted
psv,there should be inservice trainings for all faculty members of the college preparation of instructional materials preparation of actionsocial research could be topics for discussion and workshop
psv,faculty members are encouraged to grow professionally through membership and possible linkages in professionalscientific organizations
psv,all facultyrelated activities should be properly documented for purposes of evaluation and planning
