Level,Recommendations
psv,documents should be arranged according to labels as called for in the accreditation instrument files should be updated especially those concerning inventory of equipment and supplies unsigned documents should be signed to make them official and valid
psv,covered walkways may be constructed to provide comfort to the university constituents in going to and coming from the caf building
psv,copies of building codestandards should be secured and followed to ensure the safety of the buildings and housing facilities
psv,the guidance office should be more spacious to preserve the confidentiality of files and to provide comfort to students seeking advice and consultation
psv,potability of water should be periodically checked and properly documented
psv,there should be regular inspection for pest control especially with old buildings
psv,clothing technology arts and crafts must have separate laboratory rooms
psv,all faculty rooms offices student centers must be provided each with a telephone line at least local lines to facilitate interoffice communication
psv,there must be an ambulance for quicker fetching andor transferring of patients whenever need arises procurement of such may be done thru sources other than the budget of the university
psv,a more complete first aid kit must be available studentsteacherspersonnel must be trained to administer first aid
