Level,Recommendations
3,bigger library budget allocation should be provided to carryout the recommendations of the accreditor for the next level of accreditation
3,staff development program should not be limited to trainingsseminar but extended to scholarship educational tours and exchange librarians program local national and international
3,library automation and integrated library systems should be given priority in the library budget
3,the universitychief librarians should conduct an actionapplied research for the improvement of the library service
3,subscription of journals per curriculum program should be given priority
3,acquisition of print and nonprint information resources is a continuous process to update the library collection
3,the card catalog periodical index information files and others should be updated
3,reading center information materials should be classified and catalogued
3,thesisdissertations and nonprint materials should be classified and catalogued
3,library board committee should be more functional
3,library manual should include the librarys internal administration and operational activities
3,the library development plan should indicate the systematic and continuous programs and include the modern trends in the filed of librarianships
3,strategies should be looked into to motivate the students to use the main library which is full of rich information resources both print and nonprint
