Level,Recommendations
1,the site planvicinity map near the main gate of the campus should be installed
1,the students restrooms must be given due attention and priority in the college clean and green projectsactivities
1,it is suggested to come up with a workable solution as to the provision of continuous and sustainable clean safe and free potable water for the student
1,it is suggested to continue the construction of covered walks to connect closely related buildings
1,while the building in we was constructed for same acts prepare it may be nice to relocate some chalk board in some classrooms to allow better lighting and ventilation
1,a system has to be devised to institutionalize the following a potability test and drinking water b rest control infections c checking of electrical lines
1,it is recommended that segregation of water must be done from collection to disposal
1,where appropriate relevant supporting document in terms of pictorials communication accomplishment reportsaction plan programs listings duly sign may be provided
1,to promoteadvertisemarket the program to attract more enrollees and thus close the gap of the per capita to physical resource expense ratio
1,room utilization guide should be posted near the entrance of the classroom
