Level,Recommendations
psv,students alumni or industry representative should be involved together with the faculty to plan and design the content and revision of the curriculum
psv,the curriculum of the program under survey may include the prerequisite subjects per semester and date of effectivity of the program
psv,it would be better if syllabi preparation is improved by having a standard format the references listed specially for major or professional courses should be strongly enhanced as this would lead to gaining more comprehensive knowledge website references should be listed in the entrepreneur subjects
psv,regular faculty meetings should be properly documented
psv,faculty teaching load should be limited to three preparations so as not to adversely affect teaching efficiency and effectiveness
psv,the use of audiovisual materials aside from manila paper technology should be employed in order to make the teachinglearning process more interesting especially in theory subjects other teaching methodologies may be used in order to make the teachinglearning process be more exciting and interesting
psv,periodic dialoguesmeeting of the college with the faculty should be undertaken
psv,establish and maintain linkages with other learning institutions for academic exchange of instructional materials
psv,more supporting documents may be filed at the accreditation center according to the desired items in the aaccup master survey instrument
psv,the faculty members should attend seminarstraining to enhance their knowledge and skills on teaching methodologies
