Level,Recommendations
psv,packaging of documents should be improved to facilitate future evaluation
psv,a school paper for the cas students must be revived for information dissemination purposes
psv,parents should be encouraged to participate in the activities of the college
psv,the cas guidance counselor must be given an aideclerk to be more efficient and effective in her function
psv,a provision for a bigger space must be allotted for the ssd office to accommodate all student services
psv,if possible a separate and conducive testing room should be provided where students can take a battery of psychological tests
psv,a separate counseling nook should be provided in order to give privacy to students who avail of these services
psv,a uniform format should be followed in the preparation of the student organizations annual report this will facilitate the review of their accomplishments thereby making evaluation tasks easier for the ssd staff
psv,the guidance unit must strengthen the following services followup placement research and evaluation
psv,the ptca of cas has to be organized
