Level,Recommendations
3,the extension unit of cbea may prepare a comprehensive and wellplanned extension program and the extension agenda will be formulated on the basis of the thrusts of the university and other fundingpartner agencies this will provide direction to the extension thrusts of the program conversely the importance of participation of the stakeholderspartners in the formulation of the extension agenda may be designed and realized and should be properly documented
3,although the faculty members involved in extension services have attended trainings spearhead by various partner agencies proper documentation may be given importance likewise the facultytrainers may prepare modules and results of evaluation of their use and the trainings conducted may be analyzed and utilized as benchmark data for other possible research extension pursuits
3,the extension programs exclusive for the college specifically for the program under survey may be given priority it is essential however that the extension programs or services be formalized with a memorandum of agreement stating among others the responsibilities of the parties and extent of services to be provided proper monitoring and evaluation of the programs or activities may be strictly observed
3,interfacing research and extension is encouraged hence the research outputs of the students as requirements of their subjects may be used as baseline data for a possible extension program or activities for the target clienteles the research may also be a collaborative effort of students and faculty members nevertheless research outputs can only be considered as extension program if accepted and implemented by the clientele or partner agencies
3,the creation of partnerships and networkinglinkages with other academic or higher education institutions and potential partner agencies with the end in view of providing and exchangingaccessing manuals and journals and good extension practices may be prioritize likewise consider outsourcing of national and international linkages via ecommunications these can be done through a collaborative effort of the faculty members and alumni who have the connections in their respective workplacesorganizations all linkages however should be documented and established with corresponding memorandum of agreement
3,there is a need for the publication of the cbea extension manual based on the university extension manual focusing on the priorities and thrusts of the programs it may be explicitly cited in the manual the privileges and incentives that the faculty members may receive a separate extension budget for the college may be requested from the extension directorate
3,the college may publish a newsletter at least once a year to disseminate the extension efforts and activities of both faculty members and students
3,an extension database may be constructed exclusively for the college for easy access of the extension initiatives and accomplishments of both the faculty members and the students
3,an impact study of the extension programs of the college may be conducted to determine the contribution of the programs to the enhancement of the socio economic status of the clients
3,supporting documents for every item may be systematically arranged and neatly packaged lastly the recommendations of the last accreditation visit may be strictly complied with
