Level,Recommendations
psv,a comprehensive content of documentation may need to be presented to check the validity of conduct on the involvement of policymaking and student activities done within a student organization of the university as well the program under survey
psv,program under survey may need to consider the regular monitoring of its retention rate to check status on the delivery of instructional services to its students
psv,the osas may need to cater a compilation of yearbooks issued annually
psv,a filing on records regarding student loans may be considered at the osas or accounting office of the university
psv,the university through osas may need to initiate plans or a talk with the local government unit regarding food services outside the campus to ensure safety for students and with the provision of full documentation in the conduct of it
psv,an approved student policy and guidelines in theutilization of a student center are highly encouraged
psv,the regular submission of the student list with special needs to the regional ched office may be considered
psv,it is recommended that every conduct of any research in the osas will be presented and published
psv,sustainable documentation to cover all student activities on the campus and the program under survey is strongly encouraged
psv,the management of the housing unit of the university may need to initiate crafting of policies in availing offcampus housing for students to ensure its safety and be able to make it approved by the governing body of the university
psv,keeping of periodic release of student publication newsletter may be considered in computer engineering department
psv,it is encouraged to observe appropriate attachments of documents per benchmark statements for the next aaccup visit in this area
psv,it is highly suggested that compliance to the said recommendations be accomplished
