Level,Recommendations
2,the campuscollege may develop a solid waste management program the said program will become the basis in coming up with a welldefined comprehensive and sustainable way of handling solid wastes
2,the students of the college have to be reminded often in practicing proper waste segregation it has been noticed that while garbage bins have already been labelled they do not function well for their intended purpose as biodegradables and non biodegradables are still disposed under the same bins by the students furthermore the college may consider putting up a materials recovery facility to further encourage recycling among students
2,the college has to ensure that fire extinguishers are purchased refilled before they reach their expiration date this will ensure the school population safety and will strengthen their capability to respond in case of emergency
2,in order to further strengthen the colleges capability in responding to emergencies especially in case of fire the students faculty and nonteaching personnel should be given an orientation and available on how to use fire extinguishers
2,amidst the threat of possible earthquake that may strike us anytime the conduct of fire and earthquake drill must be conducted regularly in order to ensure the readiness of the school community should such calamity strike
2,the college may consider the posting of signages that will guide visitors to the different offices and classrooms in the building
2,in order to fully ensure access and mobility of persons with disabilities pwds all concrete pathways may be redesigned to make them friendly to individuals with special needs though some of the buildings and pathways have been already made adaptive to them
2,the campus may designate a safety officer and a pollution control office who will be tasked to ensure the safety of the campus and of the college and to implement the solid waste management program of the campus respectively
2,the college administration may consider providing signages along covered pathways with low roofing so as to prevent possible accident or injury
2,the student council may provide assistance to the college by way of helping in the cleanliness of the area and to help the administration in campaigning against vandalism
