Level,Recommendations
2,since the campus is very large in area and buildings are quite far from each other a campus vicinity map should be prominently displayed at the university gates to serve as a guide for visitors or stakeholders not familiar with the area
2,electrical lines and fixtures as well as appliances like orbit fans in all the buildings should be properly maintained busted lamps nonoperational switches convenient outlets and orbit fans are recommended to be replaced or repaired
2,endeavour to devise an effective mechanism for the maintenance of buildings equipment facilities toilets lavatories and water system in the university
2,consider transferring the college student center to a more spacious room with complete recreational equipment facilities if budget warrants repairrehabilitation and repainting of the mens dormitory is recommended provision of closets and study tables in every room is also suggested
2,strict implementation of dormitory rules and regulation should be done eg not allowing the dorm occupants to cook inside their rooms for their own safety provision of adequate and useable fire extinguishers is also recommended
2,for effective efficient management of the dormitories consider hiring additional personnel who will manage as dorm matron the ladies dorm rather than having both the men and ladies dorm managed by a single person
2,periodic and systematic inventory of physical facilities and equipment should be done
2,since the potability testing of some of the water sources in the campus revealed that it is contaminated with coliform and ecoli the university may consider putting up a filteringpurifying systems in order to protect its constituents from being affected by the said microorganisms
2,floor plans indicating fire exits and locations of firefighting equipment should be prominently displayed in all the buildings
2,bulletin and display boards should be maintained and regularly updated
2,cleanliness and sanitation of the university food service center must be given priority window screens processing and cooking areas must be kept clean and in order at all times
2,nonserviceable and condemned furniture and equipment and should be disposed or stored properly
2,if fund is available consider constructing a grandstand at the athletic groundoval
