Level,Recommendations
2,the staff or faculty members manning the different student services may consider the conduct of regular monitoring and evaluation of their respective assignments they may also disseminate and use the results for decision making and policy formulationrevision
2,the results of the evaluation and monitoring of the different activities in all student services may be collated analyzed and come up with a research manuscript results could be input for decisionmaking and policy formulationrevision
2,the monitoring and evaluation instruments for the student services may also be revised regularly and may be subjected for validation and reliability so as to gather and generate valid and reliable results
2,the research agenda of the program under survey may include researches on student affairs
2,budget for research on student affairs may be allocated
2,the administration may allocate funds for the student publication at the college level
2,the administration may allocate funds for renovation and proper maintenance of the university theater
2,a separate fully equipped guidance office for the university should be put up
2,the manual enrolment procedure of the university may be changed to electronic data processing edp system online to expedite processing
2,the transportation alternatives such as ikot jeep may be considered to allow accessibility of students from moving from one building to another and to minimize their expenditures
2,the conduct of microbial analysis of eating utensils of all canteens of the university may be proposed for safety and sanitation
2,the data on dropout rate transferees and shifters may be analyzed as per recommendation of accreditors during the first survey visit
2,drinking fountains to provide students with ready potable water may be provided as per recommendation of accreditor during the first visit
2,the university should hire a licensed guidance counselor
