Level,Recommendations
psv,the recordsdocuments should be updated properly packaged and must be systematically filed and the inactive and obsolete documents need to be disposed of
psv,the organizational structures of the university and the college should be reviewed
psv,strengthen partnerships and networking and consider outsourcing of national and international linkages via ecommunications
psv,the college should always provide the faculty members with relevant seminars and inserving training
psv,more income generating projects should be undertaken
psv,there is a need to improve the preparation of necessary documentation by having them signed by responsible officials
psv,the bulletin of information should contain the policies and guidelines on the different aspects or concerns of graduate students
psv,request additional multimedia or lcd projector
psv,immediate publication of the revised university code faculty manual student manual and other policies and guidelines is advised
psv,prepare the undergraduate and graduate programs for vertical articulation
psv,the university policies must be strictly observed and implemented in the college
