Course,Area,Topic,In_Level_1,In_Level_2,In_Level_3,In_Level_4,Reoccurs
ChemicalEngineering,Area1,"print, sufficient, review, vmgos, correct",0,1,1,0,1
ChemicalEngineering,Area1,"integral, introductory, syllabus, vmgos, course",0,0,0,0,0
ChemicalEngineering,Area1,"authority, approval, region, industry, concerned",0,0,0,0,0
ChemicalEngineering,Area1,"grammar, edit, committee, present, review",0,1,1,0,1
ChemicalEngineering,Area1,"print, version, sufficient, copy, correct",0,0,0,0,0
ChemicalEngineering,Area1,"influence, conduct, study, determine, make",1,1,1,0,1
ChemicalEngineering,Area1,"program, influence, conduct, study, determine",1,1,1,0,1
ChemicalEngineering,Area1,"influence, conduct, study, determine, make",1,1,1,0,1
ChemicalEngineering,Area1,"play, attractive, cartoon, retention, make",1,0,0,0,0
ChemicalEngineering,Area1,"activity, mmsus, workplace, mmsu, graduate",1,1,0,0,1
ChemicalEngineering,Area1,"review, activity, determine, recommend, program",1,1,1,0,1
ChemicalEngineering,Area1,"clearly, character, attitude, moral, term",0,1,0,0,0
ChemicalEngineering,Area1,"determine, recommend, program, objective, survey",1,1,1,0,1
ChemicalEngineering,Area1,"specific, formulate, suit, survey, objective",0,1,1,0,1
ChemicalEngineering,Area1,"determine, recommend, program, objective, survey",1,1,1,0,1
ChemicalEngineering,Area1,"awareness, study, result, conduct, acceptability",1,0,1,0,0
ChemicalEngineering,Area1,"awareness, result, conduct, acceptability, stakeholder",1,0,1,0,0
ChemicalEngineering,Area1,"revision, review, program, survey, objective",1,1,1,0,0
ChemicalEngineering,Area1,"marketplace, permit, bus, jeepney, hall",0,0,1,0,0
ChemicalEngineering,Area1,"congruency, fully, appropriate, student, document",0,0,1,0,0
ChemicalEngineering,Area10,"evaluate, plan, development, term, long",0,0,0,0,0
ChemicalEngineering,Area10,"budget, provide, specific, maintain, recommend",1,1,0,0,1
ChemicalEngineering,Area10,"retrieve, management, time, budget, document",1,1,1,0,1
ChemicalEngineering,Area10,"engineering, scheme, formulate, enroll, student",0,1,1,0,1
ChemicalEngineering,Area10,"planning, document, policy, activity, college",1,1,1,0,1
ChemicalEngineering,Area10,"attach, pertinent, comprehensive, faculty, policy",1,1,0,0,1
ChemicalEngineering,Area10,"equipment, provide, time, college, budget",1,1,0,0,1
ChemicalEngineering,Area10,"easily, retrieve, activity, order, document",1,1,1,0,1
ChemicalEngineering,Area10,"recommends, operation, allocation, monitor, specific",1,0,0,0,0
ChemicalEngineering,Area10,"maintain, team, recommends, monitor, specific",1,0,0,0,0
