Course,Area,Topic,In_Level_1,In_Level_2,In_Level_3,In_Level_4,Reoccurs,Topic_Length,Topic_Frequency,Appears_Multiple_Levels,Cosine_Score
Accountancy,Area1,"suggest, college, mission, vision, university",0,1,0,0,0,5,2,0,0.021548438090912163
Accountancy,Area1,"mmsu, inspire, restate, excellence, vision",0,0,0,0,0,5,1,0,0.004980875140530717
Accountancy,Area1,"goal, aim, vision, college, mission",0,0,0,0,0,5,1,0,0.011671645853374345
Accountancy,Area1,"wider, material, catalogue, programsactivities, print",0,1,0,0,0,5,1,0,0.007186518906170818
Accountancy,Area1,"suggest, college, mission, vision, university",0,1,0,0,0,5,2,0,0.021548438090912163
Accountancy,Area1,"forum, format, acceptability, require, write",0,0,0,0,0,5,2,0,0.006596298090525385
Accountancy,Area1,"conduct, educational, awareness, level, program",0,0,0,0,0,5,4,0,0.021615809702861512
Accountancy,Area1,"conduct, educational, awareness, level, program",0,0,0,0,0,5,4,0,0.021615809702861512
Accountancy,Area1,"dissemination, radio, wider, form, medium",0,0,0,0,0,5,2,0,0.0049365839536058154
Accountancy,Area1,"objective, implementation, good, conduct, educational",0,0,0,0,0,5,2,0,0.013781761606646374
Accountancy,Area10,"revision, close, evaluation, proper, monitoring",0,1,0,0,0,5,1,0,0.011202257383021698
Accountancy,Area10,"maximize, resource, excellence, faculty, college",0,1,1,0,1,5,1,1,0.0195119555828471
Accountancy,Area10,"competence, challengesdemands, accreditation, program, various",0,0,0,0,0,5,1,0,0.010597846761955012
Accountancy,Area10,"benefit, provide, fringe, retain, academe",0,0,0,0,0,5,1,0,0.004858577920517073
Accountancy,Area10,"fund, generation, activitiesoperations, maximize, resource",0,0,0,0,0,5,1,0,0.0061086595379769345
Accountancy,Area10,"advanced, accredit, recognize, warrant, performance",0,0,0,0,0,5,2,0,0.0036713090215987486
Accountancy,Area10,"practice, good, attainment, vision, objective",0,0,0,0,0,5,1,0,0.006975319961544598
Accountancy,Area10,"faculty, provision, university, academic, personnel",0,1,1,0,0,5,4,1,0.020117543626583273
Accountancy,Area10,"development, engage, establish, networking, linkage",0,0,0,0,0,5,2,0,0.009779102517370415
Accountancy,Area10,"faculty, provision, university, academic, personnel",0,1,1,0,0,5,4,1,0.020117543626583273
Accountancy,Area2,"creation, student, committee, textbook, different",0,1,0,0,0,5,1,0,0.012081524309689928
Accountancy,Area2,"task, aside, workload, reflect, intend",0,0,0,0,0,5,1,0,0.002512274383030899
Accountancy,Area2,"program, presentation, observe, document, accreditation",0,1,0,0,0,5,1,0,0.01892588050289052
Accountancy,Area2,"member, faculty, secure, isbn, shall",0,1,1,0,1,5,1,1,0.016375066487398376
