Course,Area,Topic,In_Level_1,In_Level_2,In_Level_3,In_Level_4,Reoccurs,Topic_Length,Topic_Frequency,Appears_Multiple_Levels,Cosine_Score
Accountancy,Area1,"suggest, college, mission, vision, university",0,1,0,0,0,5,2,0,0.0215484380909121
Accountancy,Area1,"mmsu, inspire, restate, excellence, vision",0,0,0,0,0,5,1,0,0.0049808751405307
Accountancy,Area1,"goal, aim, vision, college, mission",0,0,0,0,0,5,1,0,0.0116716458533743
Accountancy,Area1,"wider, material, catalogue, programsactivities, print",0,1,0,0,0,5,1,0,0.0071865189061708
Accountancy,Area1,"forum, format, acceptability, require, write",0,0,0,0,0,5,2,0,0.0065962980905253
Accountancy,Area1,"conduct, educational, awareness, level, program",0,0,0,0,0,5,4,0,0.0216158097028615
Accountancy,Area1,"dissemination, radio, wider, form, medium",0,0,0,0,0,5,2,0,0.0049365839536058
Accountancy,Area1,"objective, implementation, good, conduct, educational",0,0,0,0,0,5,2,0,0.0137817616066463
Accountancy,Area10,"revision, close, evaluation, proper, monitoring",0,1,0,0,0,5,1,0,0.0112022573830216
Accountancy,Area10,"maximize, resource, excellence, faculty, college",0,1,1,0,1,5,1,1,0.0195119555828471
Accountancy,Area10,"competence, challengesdemands, accreditation, program, various",0,0,0,0,0,5,1,0,0.010597846761955
Accountancy,Area10,"benefit, provide, fringe, retain, academe",0,0,0,0,0,5,1,0,0.004858577920517
Accountancy,Area10,"fund, generation, activitiesoperations, maximize, resource",0,0,0,0,0,5,1,0,0.0061086595379769
Accountancy,Area10,"advanced, accredit, recognize, warrant, performance",0,0,0,0,0,5,2,0,0.0036713090215987
Accountancy,Area10,"practice, good, attainment, vision, objective",0,0,0,0,0,5,1,0,0.0069753199615445
Accountancy,Area10,"faculty, provision, university, academic, personnel",0,1,1,0,0,5,4,1,0.0201175436265832
Accountancy,Area10,"development, engage, establish, networking, linkage",0,0,0,0,0,5,2,0,0.0097791025173704
Accountancy,Area2,"creation, student, committee, textbook, different",0,1,0,0,0,5,1,0,0.0120815243096899
Accountancy,Area2,"task, aside, workload, reflect, intend",0,0,0,0,0,5,1,0,0.0025122743830308
Accountancy,Area2,"program, presentation, observe, document, accreditation",0,1,0,0,0,5,1,0,0.0189258805028905
Accountancy,Area2,"member, faculty, secure, isbn, shall",0,1,1,0,1,5,1,1,0.0163750664873983
Accountancy,Area2,"write, paper, refereed, publish, journal",0,0,0,0,0,5,1,0,0.0064829254847573
Accountancy,Area2,"institution, size, program, faculty, class",0,1,1,0,0,5,1,1,0.0233341991517688
Accountancy,Area2,"encourage, incentive, material, develop, instructional",0,0,1,0,0,5,1,0,0.0185952016509803
Accountancy,Area2,"include, update, guideline, encourage, faculty",0,0,1,0,0,5,1,0,0.0272885938310227
Accountancy,Area2,"publishable, publish, journal, format, course",0,0,1,0,0,5,1,0,0.0056994125956502
Accountancy,Area2,"allotment, scholarly, output, workload, activity",0,0,0,0,0,5,1,0,0.0084664010204817
Accountancy,Area3,"require, practice, set, prepared, accounting",0,0,0,0,0,5,1,0,0.0043675305025254
Accountancy,Area3,"university, indicate, syllabus, faculty, member",0,1,0,0,0,5,1,0,0.0273143000525603
Accountancy,Area3,"publication, textbook, reference, fund, material",0,1,0,0,0,5,1,0,0.0113623897398308
Accountancy,Area3,"single, professional, subject, digit, cod",0,0,0,0,0,5,1,0,0.0042519688667529
Accountancy,Area3,"point, power, projector, overhead, roleplay",0,0,0,0,0,5,1,0,0.0007923643857217
Accountancy,Area3,"help, greatly, activity, preparation, teachinglearning",0,0,0,0,0,5,1,0,0.0089695590718956
Accountancy,Area3,"conference, funding, faculty, national, attendance",0,0,1,0,0,5,1,0,0.0103587254878608
Accountancy,Area3,"additional, suggest, major, subject, accounting",0,0,0,0,0,5,2,0,0.0109642074121104
Accountancy,Area3,"body, regulatory, revision, standard, syllabus",0,0,0,0,0,5,1,0,0.0051997823369547
Accountancy,Area4,"responsive, activity, service, guidance, student",0,0,0,0,0,5,1,0,0.0213540489552419
Accountancy,Area4,"strengthen, association, alumnus, active, imperative",0,0,0,0,0,5,1,0,0.0046072735602678
Accountancy,Area4,"government, entity, employment, linkage, student",0,0,0,0,0,5,1,0,0.0088346690332338
Accountancy,Area4,"activity, graduate, conduct, service, shall",0,0,0,0,0,5,2,0,0.022196585791943
Accountancy,Area4,"practice, provision, best, canteen, sanitary",0,0,0,0,0,5,1,0,0.0039842869094673
Accountancy,Area4,"practice, provision, best, student, dormitory",0,0,0,0,0,5,1,0,0.0116464157597843
Accountancy,Area4,"practice, guidance, counsellor, ched, standard",0,0,0,0,0,5,2,0,0.0061606145991168
Accountancy,Area4,"commission, license, exist, proper, guideline",0,0,0,0,0,5,1,0,0.0045670809278962
