Level,Recommendations
3,the extension unit of cbea may prepare a comprehensive and wellplanned extension program and the extension agenda will be formulate on the basis of the thrust of the university and other fundingpartner agency this will provide direction to the extension thrust of the program conversely the importance of participation of the stakeholderspartners in the formulation of the extension agenda may be design and realize and should be properly document
3,although the faculty member involve in extension service have attend training spearhead by various partner agency proper documentation may be give importance likewise the facultytrainers may prepare module and result of evaluation of their use and the training conduct may be analyze and utilized as benchmark data for other possible research extension pursuit
3,the extension program exclusive for the college specifically for the program under survey may be give priority it is essential however that the extension program or service be formalize with a memorandum of agreement state among others the responsibility of the party and extent of service to be provide proper monitoring and evaluation of the program or activity may be strictly observe
3,interfacing research and extension is encourage hence the research output of the student as requirement of their subject may be use as baseline data for a possible extension program or activity for the target clientele the research may also be a collaborative effort of student and faculty member nevertheless research output can only be consider as extension program if accepted and implement by the clientele or partner agency
3,the creation of partnership and networkinglinkages with other academic or high education institution and potential partner agency with the end in view of provide and exchangingaccessing manual and journal and good extension practice may be prioritize likewise consider outsource of national and international linkage via ecommunications these can be do through a collaborative effort of the faculty member and alumnus who have the connection in their respective workplacesorganizations all linkage however should be document and establish with correspond memorandum of agreement
3,there is a need for the publication of the cbea extension manual base on the university extension manual focus on the priority and thrust of the program it may be explicitly cite in the manual the privilege and incentive that the faculty member may receive a separate extension budget for the college may be request from the extension directorate
3,the college may publish a newsletter at least once a year to disseminate the extension effort and activity of both faculty member and student
3,an extension database may be construct exclusively for the college for easy access of the extension initiative and accomplishment of both the faculty member and the student
3,an impact study of the extension program of the college may be conduct to determine the contribution of the program to the enhancement of the socio economic status of the client
3,support document for every item may be systematically arrange and neatly package lastly the recommendation of the last accreditation visit may be strictly comply with
