Level,Recommendations
4,compliance to recommendation for phase i ii level iii and the selfsurvey is highly recommend
4,provision of sufficient document per indicator in each parameter is suggest
4,unnecessary document may be weed out and only relevant accurate timely and complete document may be include in the appropriate file folder to support the different benchmark statement in the instrument
4,proper ear tag may be provide in the file folder to facilitate the evaluation of document
4,review individual class schedule and remove the straight whole day especially in science class
4,the number of student per class as stipulate in the cmo requirement may be observe
4,review and improve the staff development plan to include retirement program manpower maintenance and it prominent scheme
4,specify budget for manpower development
4,encourage all faculty to do research and extension activity through sustainable r d program
4,design a sustainable gad program for the ca
