Level,Recommendations
3,it is recommend that an award scheme be implement by the administration to motivate faculty member who prepare and submit for material evaluation by the imc instructional material
3,instructional material prepared by faculty member be review and recommend for use by the university instructional material committee before use in the classroom
3,sustain the passion of faculty member to conduct research for presentation and publication by give incentive like deloading
3,conduct career guidance for incoming first year student for them to know more of the bs ceramic engineering program or the college or administration may employ strategy to entice incoming first year student to enroll in the program
3,increase the retention rate of the bs ceramic engineering student by conduct remedial or review class by the ceramic student organization officer and member
3,improve the graduation rate of student by implement effective strategy to enhance their performance
3,the mechanism employ to determine the employability of graduate of the bs in ceramic engineering graduate be make more effective
3,documentation of the feedback of employer of bs ceramic engineering graduate and direct supervisor on the onthejob training student be make effective
3,issuance college or department policy is recommend require faculty member to submit at the begin of the semester the course syllabus of the subject to be taught during the term for compilation at the office of the dean dept chair
3,faculty member of the other department whose program is not_subjected for accreditation may join the local accreditation task force of program subject for accreditation so that each faculty member may handle one area only for a well output or performance
3,student requirement submit to subject teacher such as quiz term examination long quiz tos and other requirement may be compile by the college secretary or department chair for ready reference and for accreditation purpose
3,documentation of the techniquesstrategies to enrich instructionlearning shall be properly undertaken and kept
3,observation of class be regularly undertaken by the department chairdean and observation form be properly accomplish and file at the dean office for future use and accreditation purpose
3,strengthen of the collegeacademic unit consortium and linkage with other learn institution for academe exchange of instructional material is recommend
3,documentation of varied evaluation measure use by the department shall be regularly and properly undertaken
3,all document file as accreditation document must be properly sign
3,unnecessary document file for some parameter state should be weed out
