Level,Recommendations
psv,the administration should look into the possibility of reduce the teach load of the faculty and to arrange their class schedule for them to be more effective and more efficient too long class hour schedule should be discourage
psv,encourage the faculty to complete their relevant graduate course
psv,a faculty development plan with correspond budget allocation base on identify priority and need of the faculty should be prepared the support of the administration for faculty training and development should be strengthen
psv,to facilitate classroom instruction the faculty member be encourage to come up with instructional material that will also earn them point for promotion as require by nbc
psv,the distribution of equivalent teach load should be review this may be deliberate productively during faculty meeting to get feedback
psv,for easy reference consultation hour of faculty should be indicate in their program
psv,faculty member be encourage to conduct relevant research if the university budget permit incentive for faculty researcher may be grant
psv,there should be inservice training for all faculty member of the college preparation of instructional material preparation of actionsocial research could be topic for discussion and workshop
psv,faculty member be encourage to grow professionally through membership and possible linkage in professionalscientific organization
psv,all facultyrelated activity should be properly document for purpose of evaluation and planning
