Level,Recommendations
psv,a comprehensive content of documentation may need to be present to check the validity of conduct on the involvement of policymaking and student activity do within a student organization of the university as well the program under survey
psv,program under survey may need to consider the regular monitoring of it retention rate to check status on the delivery of instructional service to it student
psv,the osas may need to cater a compilation of yearbook issue annually
psv,a filing on record regard student loan may be consider at the osas or accounting office of the university
psv,the university through osas may need to initiate plan or a talk with the local government unit regard food service outside the campus to ensure safety for student and with the provision of full documentation in the conduct of it
psv,an approve student policy and guideline in theutilization of a student center be highly encourage
psv,the regular submission of the student list with special need to the regional ched office may be consider
psv,it is recommend that every conduct of any research in the osas will be present and publish
psv,sustainable documentation to cover all student activity on the campus and the program under survey is strongly encourage
psv,the management of the housing unit of the university may need to initiate craft of policy in avail offcampus housing for student to ensure it safety and be able to make it approve by the govern body of the university
psv,keep of periodic release of student publication newsletter may be consider in computer engineering department
psv,it is encourage to observe appropriate attachment of document per benchmark statement for the next aaccup visit in this area
psv,it is highly suggest that compliance to the say recommendation be accomplish
