Level,Recommendations
psv,document should be arrange accord to label as call for in the accreditation instrument file should be update especially those concern inventory of equipment and supply unsigned document should be sign to make them official and valid
psv,cover walkway may be construct to provide comfort to the university constituent in go to and come from the caf building
psv,copy of building codestandards should be secure and follow to ensure the safety of the building and housing facility
psv,the guidance office should be more spacious to preserve the confidentiality of file and to provide comfort to student seek advice and consultation
psv,potability of water should be periodically checked and properly document
psv,there should be regular inspection for pest control especially with old building
psv,clothing technology art and craft must have separate laboratory room
psv,all faculty room office student center must be provide each with a telephone line at least local line to facilitate interoffice communication
psv,there must be an ambulance for quicker fetch andor transfer of patient whenever need arises procurement of such may be do thru source other than the budget of the university
psv,a more complete first aid kit must be available studentsteacherspersonnel must be train to administer first aid
