Level,Recommendations
psv,packaging of document should be improve to facilitate future evaluation
psv,a school paper for the ca student must be revive for information dissemination purpose
psv,parent should be encourage to participate in the activity of the college
psv,the ca guidance counselor must be give an aideclerk to be more efficient and effective in her function
psv,a provision for a big space must be allot for the ssd office to accommodate all student service
psv,if possible a separate and conducive test room should be provide where student can take a battery of psychological test
psv,a separate counsel nook should be provide in order to give privacy to student who avail of these service
psv,a uniform format should be follow in the preparation of the student organization annual report this will facilitate the review of their accomplishment thereby make evaluation task easy for the ssd staff
psv,the guidance unit must strengthen the follow service followup placement research and evaluation if budget warrant it would be desirable if the student service be provide with the room area equip with the necessary material and other office requirement
psv,the ptca of ca have to be organize
