Level,Recommendations
psv,student alumnus or industry representative should be involve together with the faculty to plan and design the content and revision of the curriculum
psv,the curriculum of the program under survey may include the prerequisite subject per semester and date of effectivity of the program
psv,it would be well if syllabus preparation is improve by have a standard format the reference list specially for major or professional course should be strongly enhance as this would lead to gain more comprehensive knowledge website reference should be list in the entrepreneur subject
psv,regular faculty meeting should be properly document
psv,faculty teach load should be limited to three preparation so as not_to adversely affect teach efficiency and effectiveness
psv,the use of audiovisual material aside from manila paper technology should be employ in order to make the teachinglearning process more interest especially in theory subject other teach methodology may be use in order to make the teachinglearning process be more excite and interest
psv,periodic dialoguesmeeting of the college with the faculty should be undertaken
psv,establish and maintain linkage with other learn institution for academic exchange of instructional material
psv,more support document may be file at the accreditation center accord to the desire item in the aaccup master survey instrument
psv,the faculty member should attend seminarstraining to enhance their knowledge and skill on teach methodology
