Level,Recommendations
4,present adequate and update proof to show that student participate in the planning and organization implementation monitoring and evaluation of extension program implement in the department
4,the propose study to determine the impact of the extension program on the enhancement of the quality of life of the clientele maybe implement the soonest possible time this may be do by a administer a preassessment of the quality of life of the clientele along social economic professional among others b implement the extension program to the clientele c monitoring and evaluate the conduct of the extension program and the status of the beneficiary d analyze and interpret the result of the monitoring and evaluation of the extension program in order to address issue and concern for the improvement of the extension program implement e administer the postassessment of the quality of life of the clientele after three to five year of implementation of the say extension program f treat statistically the result of the two assessment to determine the change in the quality of life of the clientele which indicates the impact of the extension program implement success story could also be sought from the clientele to validate the result of the impact study
4,it is suggest that budget allocation for extension program be do by college it may specify expense to be incur along expert service human resource transportation supply and material and other incidental expense the work and financial plan for each extension activity could be the source of information for the matrix to be construct for the purpose
4,present enough piece of evidence to illustrate that budget for the extension program of the program under survey is utilized as plan
4,it is recommend that adequate and update document be present to indicate that result of monitoring and evaluation of the different extension program project and activity be utilized as input in the replanning of future extension activity to be implement by the program under survey
4,the program under survey may consider present adequate and update document to support the benchmark statement of the aaccup instrument far document should cover the rating period and make sure that all document be duly sign by authority concerned
4,the administration of the college of art and science may revisit their faculty development program to make it functional and holistic design a longrange program to enhance the extension capability and competence of the faculty member
4,present enough document that will show the full and active participation of the community in the monitoring and evaluation of extension program
4,the administration of the program under survey may devise a mechanism to motivate all faculty member to actively participate in the different extension activity undertaken
4,as much as possible the accreditation task force exert more effort to fully comply with the recommendation during the last survey visit
4,present adequate proof to indicate that knowledge and skill acquire by the clientele for the extension program of the department be be fully utilized
