Level,Recommendations
2,the staff or faculty member man the different student service may consider the conduct of regular monitoring and evaluation of their respective assignment they may also disseminate and use the result for decision make and policy formulationrevision
2,the result of the evaluation and monitoring of the different activity in all student service may be collate analyze and come up with a research manuscript result could be input for decisionmaking and policy formulationrevision
2,the monitoring and evaluation instrument for the student service may also be revise regularly and may be subject for validation and reliability so as to gather and generate valid and reliable result
2,the research agenda of the program under survey may include research on student affair
2,budget for research on student affair may be allocate
2,the administration may allocate fund for the student publication at the college level
2,the administration may allocate fund for renovation and proper maintenance of the university theater
2,a separate fully equip guidance office for the university should be put up
2,the manual enrolment procedure of the university may be change to electronic data processing edp system online to expedite processing
2,the transportation alternative such as ikot jeep may be consider to allow accessibility of student from move from one building to another and to minimize their expenditure
2,the conduct of microbial analysis of eat utensil of all canteen of the university may be propose for safety and sanitation
2,the data on dropout rate transferee and shifter may be analyze as per recommendation of accreditors during the first survey visit
2,drinking fountain to provide student with ready potable water may be provide as per recommendation of accreditor during the first visit
2,the university should hire a license guidance counselor
