Level,Recommendations
psv,to inform the public and visitor on the proper location of building and office in the institution the map of the site development plan should be instal in a more conspicuous place in the university
psv,if fund be available it is suggest to continue the construction of cover walk connect building to protect student from inclement weather
psv,the university have a sound waste management program however there is a need to strengthen the proper implementation of say program to maintain the cleanliness and orderliness of the institution
psv,as prescribed by law there is a need to display the certificate of occupancy to ensure to the public that the building is safe
psv,classroom and laboratory room as well as emergency exit should be properly label and marked for easy identification of it use and easy to see in time of disaster
psv,the university could be more beautiful and appreciable if the student could be properly inform and taught on how to maintain the cleanliness and orderliness of the toilet and lavatory
psv,ca official should find available mean to stop vandalism cause by student in their classroom and laboratory room
psv,electrical wiring connection should follow the prescribed pattern for safety wiring installation to protect and ensure the building from any disaster cause by fire hence it is suggest that the wiring installation for light in the toilet in the second floor be properly fix to avoid any untoward incident that might result to fire
psv,in case of emergency like brownout the college should have alternative storage of water to facilitate the availability of water during laboratory class hour
psv,the university have plenty of water in the system however most employee do not_use it for drinking because of doubt that it is not_safe for drinking in this regard it is highly recommend that the administration should conduct a periodic potability test and inform the public of the result and if found safe for drinking this will give lesser cost for the different office for not_buying mineral water from station
psv,periodic pest control should be conduct to protect the building from far damage of termite or other wood pest and disease
psv,fire extinguisher should be properly instal on the wall outside the classroom office and laboratory room for well accessibility during emergency likewise student should be give periodic drill on fire prevention and on the proper use of fire extinguisher
