Level,Recommendations
psv,the recordsdocuments should be update properly package and must be systematically file and the inactive and obsolete document need to be dispose of
psv,the organizational structure of the university and the college should be review
psv,strengthen partnership and networking and consider outsource of national and international linkage via ecommunications
psv,the college should always provide the faculty member with relevant seminar and inserving training
psv,more income generate project should be undertaken
psv,there is a need to improve the preparation of necessary documentation by have them sign by responsible official
psv,the bulletin of information should contain the policy and guideline on the different aspect or concern of graduate student
psv,request additional multimedia or lcd projector
psv,immediate publication of the revise university code faculty manual student manual and other policy and guideline is advise
psv,prepare the undergraduate and graduate program for vertical articulation
psv,the university policy must be strictly observe and implement in the college
