Level,Recommendations
1,the curriculum committee should sit en banc to rearrange the catalogue number of the bstm subject accordingly
1,the chair and dean should review the course syllabus prepared by the faculty and have them sign properly
1,include the vmgo in the term examination
1,orient the student at the start of the semestral class about the subject they be enrol it scope requirement and grade system
1,discus the content of the course syllabus provide to the student during the first day of class
1,the faculty author should always indicate the reference use in their instructional manual and the author concerned
1,the instructional manual of a specific subject should always contain an introduction and the subject syllabus append
1,the mmsu administration may consider send the faculty member for training in module or book write and the like
1,all faculty should be require to attend a seminarworkshop on test construction
1,the practicum report should be checkedreviewed by the faculty of the department of tourism and hospitality management to come up with a well and uniform format for this consider the inclusion of title in the hardbound cover acknowledgement biographical sketch table of content and list of appendix
1,improve the packaging of document for accreditation purpose
