Level,Recommendations,Course,Area,Level 
2,believe vision university attain suggest vision restate challenge inspire statement mmsu center development andor excellence area strength,Accountancy,Area1,
2,suggest vision mission college university vision mission therefore goal aim college objective program,Accountancy,Area1,
2,university vision mission print college catalogue programsactivities print material,Accountancy,Area1,
2,increase level awareness understand external stakeholder air radio tv wider dissemination,Accountancy,Area1,
3,level awareness among external stakeholder increase wider dissemination television onair radio program aside form medium,Accountancy,Area1,
3,surveyresearch level awareness understand acceptability present inhouse forum suggest package require format style research write include abstract reference etc,Accountancy,Area1,
3,conduct good educational practice implementation plan activity towards attain goal objective program sustain,Accountancy,Area1,
2,encourage faculty member far improve educational qualification teach competence keep challengesdemands culture excellence sought university high accreditation status various program college,Accountancy,Area10,
2,provide attractive salary fringe benefit faculty masquer retain academe,Accountancy,Area10,
2,proper close continuous monitoring evaluation revision plansstrategiesactivities respond call excellence,Accountancy,Area10,
2,maximize resource income generation college fund activitiesoperations,Accountancy,Area10,
3,institution consider visit enhance mmsu code integrate new provision attune challenge globalization aean integration towards attainment vision goal objective,Accountancy,Area10,
3,college encourage establish international linkage networking faculty member engage professional development,Accountancy,Area10,
3,hire faculty encourage pursue advanced education provision scholarship program possibly send recognize accredit university abroad budget warrant,Accountancy,Area10,
3,performance evaluation result disseminate academic personnel staff provide copy rating basis improve performance efficient effective delivery service,Accountancy,Area10,
3,good practice improvement performance academic personnel towards attainment university vision target objective sustain,Accountancy,Area10,
2,faculty member shall encourage develop instructional material book manual module area specialization give financial assistance cover production cost maybe consider,Accountancy,Area2,
2,faculty member write book shall secure isbn instructional material,Accountancy,Area2,
2,creation textbook committee evaluate book faculty student different subject area,Accountancy,Area2,
2,purchase additional instructional medium overhead projector lcd enhance teachinglearning process give priority,Accountancy,Area2,
2,number hour intend research extension consultation assign task reflect workload aside subject assignment faculty,Accountancy,Area2,
2,faculty shall encourage present paper not_only regional national also international forum conference,Accountancy,Area2,
2,faculty shall encourage write publish paper refereed journal,Accountancy,Area2,
2,systematic organize presentation accreditation document program observe,Accountancy,Area2,
3,institution revisit faculty workload conform guideline class size reduce class size meet program requirement lecture class laboratory class,Accountancy,Area2,
3,faculty workload format revise reflect not_only teach load also time allotment academicrelated activity preparation lesson evaluation record student quiz output research extension activity scholarly work state faculty workload guideline,Accountancy,Area2,
3,faculty development program include attendance faculty seminar training update current trend field specialization,Accountancy,Area2,
3,institution consider give incentive faculty encourage present paper national international conference aside transportation allowance registration fee subsidy,Accountancy,Area2,
3,faculty encourage publish paper refer journal train repackage research publishable format,Accountancy,Area2,
3,institution give incentive faculty encourage develop instructional material,Accountancy,Area2,
3,course syllabus include semester school year update not_only format also course content topic,Accountancy,Area2,
2,practice set instructional material prepared accounting faculty member,Accountancy,Area3,
