Level,Recommendations
3,the staff or faculty members manning the different student services may consider the conduct of regular monitoring and evaluation of their respective assignments they may also disseminate the results of monitoring and evaluation for decision making of and policy formulationrevision
3,the results of the evaluation and monitoring of the different activities in all student services may be collated analyzed and come up with a research manuscript results could be input for decisionmaking and policy formulationrevision
3,the monitoring and evaluation instruments for the student services may also be revised regularly and may be subjected for validation and reliability so as to gather and generate valid and reliable results
3,the research agenda of the program under survey may include researches on student affairs
3,budget for research on student affairs may be allocated
3,the administration may allocate of funds for the student publication at the college level
3,the administration may allocation of funds for renovation and proper maintenance of university theater
3,a separate fully equipped guidance office for the university should be put up
3,the manual enrolment procedure of the university may be changed to electronic data processing system for online services to expedite processing considering the population size
3,the transportation alternatives such as ikot jeep may be considered to allow accessibility among students from moving from one building to another and to minimize their expenditures
3,the conduct of microbial analysis of eating utensils of all canteens of the university may be proposed for safety and sanitation
3,the data on dropout rate transferees and shifters may be analyzed as per recommendation of accreditor during the first survey visit
3,drinking fountains to provide students with ready potable water may be installed as per recommendation of accreditor during the first visit
3,the university should hire a licensed guidance counselor to comply with ched and aaccup minimum requirements
