Level,Recommendations
1,if funds warrant the university may install additional lighting system repair or replace the defectlve electrlc fans
1,safety and precautionary measures may be printed to be readable and be posted visibly
1,fire extinguishers are suggested to be placed at conspicuous places for accesslblllty
1,it ls encouraged that all laboratory rooms and shops may be provided with first ald cabinets with mediclnes and post antidote charts
1,the management may schedule a regular conduct of fire and earthquake drill
1,the department may apply the s principle to put things in order
1,if posslble a laboratory technician may be hired so that the faculty members will focus on their lnstruction functions
1,if budget permits the department may purchase printers and install it in the computer laboratory so that students can print their different activities in their major subject
1,if budget permits use students in the higher years to serve as a laboratory osslstant durlng laboratory classesactivities
1,if budget permits the department may consider purchasing additional licensed software that is belng utilized ln the laboratories
1,pictures are good supplemental documents but should be appropriately captloned use unlforrn size of paper in packaging documents
