Level,Recommendations
2,to improve the integrity of the thesesresearch papers and strengthen the defense process the expert services of the external evaluators may be sought by the dean as per the recommendations of the department chair or thesis adviser their honoraria however may be increased or an additional fee may be given to compensate their efforts and cover their expenses including but not_limited to gasoline and food also thesesresearch papers should be subjected to plagiarism and grammar check
2,there is a need to periodically review the curriculum to meet the exigencies of time such undertaking however requires the involvement of the entire academic community including the alumni and representatives from the industry to ensure that the academe is in time with the demands of the industry likewise proper documentation should be observed ie letter of invitation attendance sheet minutes of the proceedings pictures among others should be included among the documents
2,the faculty members may be encouraged to preparedevelop books instructional materials for their respective subjects and the same should be evaluatedreviewed by highly competent experts observing the rigid standard protocol including copyrighting
2,in the age of modern technology where everyone has the internet facility the faculty members may venture into developing caitype computeraidedinstruction modules for learning packages also they can consider exposing the students more often to various academic pursuits like lakbayaral or exposure trips national conferences or fora on cooperative and different topics related to the course and other relatedundertaking hence the teachinglearning process can be more enjoyable and interesting on the part of the faculty members and students
2,conduct a seminarworkshop or training on test construction and measurement for better evaluation of test results based on a properly formulated table of specifications require workshop outputs to include critiquing of the same editing of tests before they are administered is also suggested
2,prioritize the creation of consortiapartnerships and networkinglinkages with academic or higher education institutions with the end in view of providing and accessing instructional materials and journals likewise consider networking with national and international linkages taking advantage of the internet or e communications these can be done through a collaborative effort of the faculty members and alumni who have the connections in their respective workplacesorganizations all linkages however should be documented and supported with memorandum of agreement
2,students membership in recognized organizations national and international must be given attention
2,encourage the faculty members and graduate students to be engage in collaborative researches that can be funded by the university or any funding agencies these however should be based on the university or college priorities which can be beneficial to the entire academic community
2,conduct an indepth study on the productivity of faculty members academic performance of graduate students and level of success of graduates this may serve as a mechanism in gathering feedbacks from stakeholders to improve the operation and management of the college
2,supporting documents or evidences for every item should be complete systematically arranged and neatly packaged
