Level,Recommendations
4,the research unit of cbea may prepare a comprehensive and wellplanned research program and the research agenda may be formulated on the basis of the thrusts of the university and other funding agencies this may provide direction to the research thrusts of the program conversely the participation of the stakeholders and beneficiaries in the formulation of the research agenda may be encouraged and be properly documented
4,the college may spearhead extensive seminarworkshops on action research for both the faculty members and the students to enhance their capability knowledge and skills in conducting research eventually they may have a better appreciation of the importance of research which may motivate them to engage in all research related activities which may give them the opportunity of receiving awards citations or recognitions
4,collaborative research among the faculty members and students is essential hence the faculty members and students may take the initiative of engaging in collaborative research pursuits which may be presented at the research directorate for possible funding also interfacing research and extension may be observed and implemented
4,the creation of partnerships and networkinglinkages apart from the research directorate with academic or higher education institutions with the end in view of providing and accessing instructional materials and journals may be prioritize likewise consider outsourcing of national and international linkages via e communication these can be done through a collaborative effort of the faculty members and alumni who have the connections in their respective workplacesorganizations all linkages however should be documented and established with corresponding memorandum of agreement
4,there is a need for the publication of the cbea research manual to be based on the university research manual focusing on the priorities and thrusts of the programs it be explicitly cited in the manual the privileges and incentives that the faculty researchers may receive a separate research budget for the college may be requested from the research directorate
4,a regular inhouse review of completed and ongoing studiesprojects in economics may be conducted so that the students and faculty members can present their researches where awards may be given to best presenter and best paper financial incentives however may be given to the presenters
4,the college may publish a separate research journal for the faculty members and students at least once a year to showcase and disseminate their completed researches however only those papers presented in the inhouse review may be included in the journals
4,all faculty members may conduct researches within their areas of specialization the research undertakings may contribute significantly in the development of the institution and instructional enhancement and will be of great significance to the target clienteles
4,the faculty members are encouraged to respond to the call for papers for possible international presentation and publication in refereed journals incentives however may be provided to the faculty members who will take the initiative without necessarily informing the research directorate of submitting papers for presentation and publication
4,the projectsresearch studies of the students as part of the course requirements may be placed in a resource room as exhibits to show the students creative and innovative skills
4,a research database may be constructed exclusively for the college for easy access of the research endeavors and accomplishments of both its faculty members and students
4,the university may continuously apply for patent and license for its research projects
4,supporting documents for every item may be systematically arranged and neatly packaged lastly the recommendation of the last accreditation visit may be strictly complied with
