Level,Recommendations
1,increase as much as possible the participation of students alumni and government representatives in the planning of the research agenda
1,faculty members handling nursing subjects may be encouraged to do action researches in collaboration with other professors
1,enhancement of records utilization of nursing theses in the research center is highly recommended
1,a more astringent implementation of the issuance of memorandum receipts for properties must be observed
1,flexible incentives must be given to faculty members especially those who are involved in researchesthesis writing
1,check the loading system of the clinical instructors so as to give them time for research undertakings
1,verification of signatories of documents must be given attention
1,formulation of clearcut policies that will provide specific sanctions to those who will violate the said policy ipr is advised
1,development of a committee to oversee the development and production of instructional materials may be considered
1,other forms of information dissemination of research output must be given attention these abstracts may be also published in school paper so as to ensure the larger scope of circulation it is also suggested that a brochureflyers for every research undertakings be required
