Level,Recommendations
3,separate hazardous chemical commonly one separate storage room acid material produce fume
3,place microscope cabinet preferably airconditioned room away chemical
3,repaint laboratory room
3,repair laboratory sink cabinet drawer soon possible likewise immediate repair equipment important
3,provide biology student individual locker keep laboratory material material need study
3,provide thesis student separate area research activity
3,hire additional laboratory technician
3,provide shower area laboratory room
3,treat chemical waste properly disposal
3,maintain cleanliness orderliness laboratory
3,put fire extinguisher proper place
3,laboratory manual subject also available preparation room
3,separate roomoffice near stockroom provide laboratory technician avoid much exposure chemical
3,administration float idea give hazard pay personnel expose various toxic material conduct research
3,procure additional laboratory facility equipment need genetics histotechnique cell biology molecular biology biotechnology class
