Level,Recommendations
psv,administration look possibility reduce teach load faculty arrange class schedule effective efficient long class hour schedule discourage
psv,encourage faculty complete relevant graduate course
psv,faculty development plan correspond budget allocation base identify priority need faculty prepared support administration faculty training development strengthen
psv,facilitate classroom instruction faculty member encourage come instructional material also earn point promotion require nbc
psv,distribution equivalent teach load review deliberate productively faculty meeting get feedback
psv,easy reference consultation hour faculty indicate program
psv,faculty member encourage conduct relevant research university budget permit incentive faculty researcher grant
psv,inservice training faculty member college preparation instructional material preparation actionsocial research could topic discussion workshop
psv,faculty member encourage grow professionally membership possible linkage professionalscientific organization
psv,facultyrelated activity properly document purpose evaluation planning
