Level,Recommendations
1,fund warrant university install additional light system repair replace defectlve electrlc fan
1,safety precautionary measure print readable post visibly
1,fire extinguisher suggest place conspicuous place accesslblllty
1,ls encourage laboratory room shop provide first ald cabinet mediclnes post antidote chart
1,management schedule regular conduct fire earthquake drill
1,department apply principle put thing order
1,posslble laboratory technician hire faculty member focus lnstruction function
1,budget permit department purchase printer install computer laboratory student print different activity major subject
1,budget permit student high year serve laboratory osslstant durlng laboratory classesactivities
1,budget permit department consider purchasing additional license software belng utilized ln laboratory
1,picture good supplemental document appropriately captloned unlforrn size paper packaging document
