Level,Recommendations
4,research unit cbea prepare comprehensive wellplanned research program research agenda formulate basis thrust university funding agency provide direction research thrust program conversely participation stakeholder beneficiary formulation research agenda encourage properly document
4,college spearhead extensive seminarworkshops action research faculty member student enhance capability knowledge skill conduct research eventually appreciation importance research motivate engage research related activity give opportunity receive award citation recognition
4,collaborative research among faculty member student essential hence faculty member student take initiative engage collaborative research pursuit present research directorate possible funding also interfacing research extension observe implement
4,creation partnership networkinglinkages apart research directorate academic high education institution end view provide access instructional material journal prioritize likewise consider outsource national international linkage via e communication collaborative effort faculty member alumnus connection respective workplacesorganizations linkage however document establish correspond memorandum agreement
4,need publication cbea research manual base university research manual focus priority thrust program explicitly cite manual privilege incentive faculty researcher receive separate research budget college request research directorate
4,regular inhouse review complete ongoing studiesprojects economics conduct student faculty member present research award give best presenter best paper financial incentive however give presenter
4,college publish separate research journal faculty member student least year showcase disseminate complete research however paper present inhouse review include journal
4,faculty member conduct research within area specialization research undertaking contribute significantly development institution instructional enhancement great significance target clientele
4,faculty member encourage respond call paper possible international presentation publication refereed journal incentive however provide faculty member take initiative without necessarily inform research directorate submit paper presentation publication
4,projectsresearch study student part course requirement place resource room exhibit show student creative innovative skill
4,research database construct exclusively college easy access research endeavor accomplishment faculty member student
4,university continuously apply patent license research project
4,support document every item systematically arrange neatly package lastly recommendation last accreditation visit strictly comply
