Level ,Recommendations
1,workload faculty indicate not_only teach assignment also schedule extension research production consultation administrative task
1,extra care take preparation schedule class no_class held continuously hour without even short break break period least minute allot every two class faculty student take break attend personal need interval enough time provide faculty move next class distant classroom building
1,syllabus enrich varied strategy teach aid equipment also sign date follow format acceptable
1,faculty core not_may encourage conduct research result basis instruction
1,narrative report write record committee proceeding seminar training attend echoseminars conduct minute meeting kept serve future reference
1,document evaluation package completely separately program accreditation center
1,ppp program support document prepared carefully follow benchmark statement survey instrument avoid confusion
1,scholarship give potential faculty acquire necessary high education specialization program
1,faculty development plan prepared collaboratively faculty immediate implementation newly hire faculty not_postpone enrolment pursue high education
1,event faculty absent notice substitution immediately issue vacant teacher take class learn continue substitute reward service credit incentive
1,must measure equalize number preparation assign teacher maximum three preparation observe
