Level,Recommendations
1,proper adequate documentation provide follow benchmarking survey need community b extension program thrust priority c establish linkage local foreign nongovernmental agency design dissemination extension program e monitoring evaluation document f periodic monitoring provide feedback program g result monitoring evaluation discuss stakeholder h replanning activity improve delivery extension service
1,student body also include participate planning process community extension program
1,no_evidence show accomplishment report file reference purpose must markedauthenticated properly record office
1,document adequately provide show definite approve budget allocation extension service
1,institution properly document tracer utilization technologyknowledge skill learn acquire training recipient
1,preserve specimen laboratory instructional material properly label
1,evaluative test record properly compile item analysis
1,table specification tos item analysis examination require
1,need conduct inservice training reecho seminar faculty enhance teach curriculum revision b table specification c item analysis environmental management attend faculty outside university
1,syllabus update enhance sign dean chairman
1,document accreditation organize property tag
1,encouragement student maintenance orderliness cleanliness classroom laboratory room corridor recommend
