Level,Recommendations
psv,inform public visitor proper location building office institution map site development plan instal conspicuous place university
psv,fund available suggest continue construction cover walk connect building protect student inclement weather
psv,university sound waste management program however need strengthen proper implementation say program maintain cleanliness orderliness institution
psv,prescribed law need display certificate occupancy ensure public building safe
psv,classroom laboratory room emergency exit properly label marked easy identification easy see time disaster
psv,university could beautiful appreciable student could properly inform taught maintain cleanliness orderliness toilet lavatory
psv,ca official find available mean stop vandalism cause student classroom laboratory room
psv,electrical wiring connection follow prescribed pattern safety wiring installation protect ensure building disaster cause fire hence suggest wiring installation light toilet second floor properly fix avoid untoward incident result fire
psv,case emergency brownout college alternative storage water facilitate availability water laboratory class hour
psv,university plenty water system however employee not_use drinking doubt not_safe drinking regard highly recommend administration conduct periodic potability test inform public result test found safe drinking give lesser cost different office not_buying mineral water station
psv,periodic pest control conduct protect building far damage termite wood pest disease
psv,fire extinguisher properly instal wall outside classroom office laboratory room accessibility emergency likewise student give periodic drill fire prevention proper fire extinguisher
psv,faculty lounge area faculty vacant hour equip music video facility
psv,floor area theater ilocandia student physical education subject fix not_be dangerous student
psv,medical dental supply university clinic properly label easy identification need
psv,fund available adequate conference room student center ready equip necessary facility stereo music video player television several indoor game facility student vacant period
psv,document file accreditation center properly sign concerned official
