Level,Recommendations
4,compliance recommendation phase ii level ill selfsurvey highly recommend
4,provision sufficient document per indicator parameter suggest
4,unnecessary document weed relevant accurate timely complete document include appropriate file folder support different benchmark statement instrument
4,proper ear tag provide file folder facilitate evaluation document
4,review individual class schedule remove straight whole day especially science class
4,number student per class stipulate cmo requirement observe
4,review improve staff development plan include retirement program manpower maintenance prominent scheme
4,specify budget manpower development
4,encourage faculty research extension activity sustainable r program
4,design sustainable gad program ca
4,organize exhibit file separate box
4,label likewise bound document
