Level,Recommendations
1,increase much possible participation student alumnus government representative planning research agenda
1,faculty member handle nursing subject encourage action research collaboration professor
1,enhancement record utilization nursing thesis research center highly recommend
1,astringent implementation issuance memorandum receipt property must observe
1,flexible incentive must give faculty member especially involve researchesthesis write
1,check load system clinical instructor give time research undertaking
1,verification signatory document must give attention
1,formulation clearcut policy provide specific sanction violate say policy ipr advise
1,development committee oversee development production instructional material consider
1,form information dissemination research output must give attention abstract also publish school paper ensure large scope circulation also suggest brochureflyers every research undertaking require
