Level,Recommendations
psv,college purchase additional prescribed demonstration table not_to delay simultaneous conduct laboratory exercise different laboratory room
psv,door laboratory room make open outward conform acceptable standard
psv,safety precautionary measure laboratory make visible student easily internalize importance safety measure avoid accident inside laboratory room
psv,fire extinguisher properly instal wall outside laboratory room office make accessible student employee time fire disaster
psv,highly recommend faculty teach physic laboratory laboratory manual strengthen quality knowledge gain student conduct experiment likewise faculty teach physic encourage make approve laboratory manual would benefit also nbc evaluation
psv,periodic fire drill activity encourage every college enhance knowledge student fire extinguisher properly time fire disaster
psv,gas water must adequate conduct laboratory exercise additional water tank instal college not_to hamper student conduct laboratory exercise even brownout
psv,additional demonstration table chemistry laboratory room purchase conform acceptable standard allow simultaneous different laboratory room
psv,separate equipment supply room instal every laboratory room make accessible student
psv,additional storeroom construct microbiology laboratory room supply material not_scattered within room enable room spacious work
