Level,Recommendations
psv,recordsdocuments update properly package must systematically file inactive obsolete document need dispose
psv,organizational structure university college review
psv,strengthen partnership networking consider outsource national international linkage via ecommunications
psv,college always provide faculty member relevant seminar inserving training
psv,income generate project undertaken
psv,need improve preparation necessary documentation sign responsible official
psv,bulletin information contain policy guideline different aspect concern graduate student
psv,request additional multimedia lcd projector
psv,immediate publication revise university code faculty manual student manual policy guideline advise
psv,prepare undergraduate graduate program vertical articulation
psv,university policy must strictly observe implement college
