Level,Recommendations
2,design activity base result give guidance service unit meet student need
2,mandate ra professionalize practice guidance counsel college seriously consider hire register guidance counselor
2,student publication unit apply issn
2,highly recommend office student service conduct research study student need problem profile etc
2,program documentation compilation record student attendance school recognize activity kept
2,student affair practitioner encourage coordinatorsstaff different student service unit update late trend issue attend training seminar
2,suggest separate school publication college necessary document student performance activity achievement
2,fund available administration consider construction student center college program survey belong benefit
2,involvement student planning implementation program activity concern welfare maybe consider
2,accreditation document provide self explanatory complete update package indicate source reference photocopy material present proofsevidences
2,possible request student clientele give immediate attention concerned unit faculty staff accordance approve citizen charter
