Level,Recommendations
2,campuscollege develop solid waste management program say program become basis come welldefined comprehensive sustainable way handle solid waste
2,student college remind often practice proper waste segregation notice garbage bin already label not_function intend purpose biodegradables non biodegradables still dispose bin student furthermore college consider put material recovery facility far encourage recycle among student
2,college ensure fire extinguisher purchase refill reach expiration date ensure school population safety strengthen capability respond case emergency
2,order far strengthen college capability respond emergency especially case fire student faculty nonteaching personnel give orientation available fire extinguisher
2,amidst threat possible earthquake strike us anytime conduct fire earthquake drill must conduct regularly order ensure readiness school community calamity strike
2,college consider post signage guide visitor different office classroom building
2,order fully ensure access mobility person disability pwds concrete pathway redesign make friendly individual special need though building pathway already make adaptive
2,campus designate safety officer pollution control office tasked ensure safety campus college implement solid waste management program campus respectively
2,college administration consider provide signage along cover pathway low roof prevent possible accident injury
2,student council provide assistance college way help cleanliness area help administration campaign vandalism
