Level,Recommendations
psv,document arrange accord label call accreditation instrument file update especially concern inventory equipment supply unsigned document sign make official valid
psv,cover walkway construct provide comfort university constituent go come caf building
psv,copy building codestandards secure follow ensure safety building housing facility
psv,guidance office spacious preserve confidentiality file provide comfort student seek advice consultation
psv,potability water periodically checked properly document
psv,regular inspection pest control especially old building
psv,clothing technology art craft must separate laboratory room
psv,faculty room office student center must provide telephone line least local line facilitate interoffice communication
psv,must ambulance quicker fetch andor transfer patient whenever need arises procurement thru source budget university
psv,complete first aid kit must available studentsteacherspersonnel must train administer first aid
