Level,Recommendations
3,big library budget allocation provide carryout recommendation accreditor next level accreditation
3,staff development program not_be limited trainingsseminar extend scholarship educational tour exchange librarian program local national international
3,library automation integrate library system give priority library budget
3,universitychief librarian conduct actionapplied research improvement library service
3,subscription journal per curriculum program give priority
3,acquisition print nonprint information resource continuous process update library collection
3,card catalog periodical index information file others update
3,reading center information material classify catalogue
3,thesisdissertations nonprint material classify catalogue
3,library board committee functional
3,library manual include library internal administration operational activity
3,library development plan indicate systematic continuous program include modern trend file librarianship
3,strategy look motivate student main library full rich information resource print nonprint
