Level,Recommendations
1,present document within prescribed accreditation period
1,consider classify label document accord benchmark statement
1,inservice training faculty member regular basis eg every semester
1,faculty member sent attend lecture symposium conference seminar workshop far hone teach capability skill possible permanent faculty member attend activity official business
1,college research journal put provide mean publishing research faculty member must also publish regularly
1,mechanism also devise monitor attendance faculty member eg logbook design properly monitor attendance faculty member class
1,update syllabus include value promote subject taught include semester school year cover page also follow standard format
1,encourage faculty member prepare instructional material
1,effort exert package document properly
1,encourage permanent faculty member attend accreditation matter college assist temporary contractual faculty member
1,picture video activity participate faculty member attach evidence benchmark statement faculty member consultation extension service proper decorum
1,encourage faculty member ict teach
