Level,Recommendations
psv,administration look possibility lessen teach load overload teacher arrange class schedule effective efficient long class hour schedule discourage
psv,encourage faculty complete relevant graduate course
psv,various learn opportunity recommend graduate study pursue college university
psv,facilitate classroom instruction faculty member encourage come instructional material also earn point promotion require nbc
psv,distribution equivalent teach load review deliberate productively faculty meeting get feedback
psv,easy reference consultation hour teacher indicate instructor schedule
psv,faculty member encourage conduct research university budget warrant incentive faculty researcher grant
psv,professional advancement update faculty encourage search establish possible linkage
psv,facultyrelated activity properly document purpose evaluation planning
psv,file make presentable orderly
psv,college art science come inservice seminar faculty various department
