Level,Recommendations
psv,student alumnus industry representative involve together faculty plan design content revision curriculum
psv,curriculum program survey include prerequisite subject per semester date effectivity program
psv,would syllabus preparation improve standard format reference list specially major professional course strongly enhance would lead gain comprehensive knowledge website reference list entrepreneur subject
psv,regular faculty meeting properly document
psv,faculty teach load limited three preparation not_to adversely affect teach efficiency effectiveness
psv,audiovisual material aside manila paper technology employ order make teachinglearning process interest especially theory subject teach methodology order make teachinglearning process excite interest
psv,periodic dialoguesmeeting college faculty undertaken
psv,establish maintain linkage learn institution academic exchange instructional material
psv,support document file accreditation center accord desire item aaccup master survey instrument
psv,faculty member attend seminarstraining enhance knowledge skill teach methodology
