Level,Recommendations
2,staff faculty member man different student service consider conduct regular monitoring evaluation respective assignment also disseminate result decision make policy formulationrevision
2,result evaluation monitoring different activity student service collate analyze come research manuscript result could input decisionmaking policy formulationrevision
2,monitoring evaluation instrument student service also revise regularly subject validation reliability gather generate valid reliable result
2,research agenda program survey include research student affair
2,budget research student affair allocate
2,administration allocate fund student publication college level
2,administration allocate fund renovation proper maintenance university theater
2,separate fully equip guidance office university put
2,manual enrolment procedure university change electronic data processing edp system online expedite processing
2,transportation alternative ikot jeep consider allow accessibility student move one building another minimize expenditure
2,conduct microbial analysis eat utensil canteen university propose safety sanitation
2,data dropout rate transferee shifter analyze per recommendation accreditors first survey visit
2,drinking fountain provide student ready potable water provide per recommendation accreditor first visit
2,university hire license guidance counselor
