Level,Recommendations
psv,inform public visitor proper location building office institution map site development plan instal conspicuous place university
psv,fund available suggest continue construction cover walk connect building protect student inclement weather
psv,university sound waste management program however need strengthen proper implementation say program maintain cleanliness orderliness institution
psv,prescribed law need display certificate occupancy ensure public building safe
psv,classroom laboratory room emergency exit properly label marked easy identification easy see time disaster
psv,university could beautiful appreciable student could properly inform taught maintain cleanliness orderliness toilet lavatory
psv,ca official find available mean stop vandalism cause student classroom laboratory room
psv,electrical wiring connection follow prescribed pattern safety wiring installation protect ensure building disaster cause fire hence suggest wiring installation light toilet second floor properly fix avoid untoward incident might result fire
psv,case emergency brownout college alternative storage water facilitate availability water laboratory class hour
psv,university plenty water system however employee not_use drinking doubt not_safe drinking regard highly recommend administration conduct periodic potability test inform public result found safe drinking give lesser cost different office not_buying mineral water station
psv,periodic pest control conduct protect building far damage termite wood pest disease
psv,fire extinguisher properly instal wall outside classroom office laboratory room accessibility emergency likewise student give periodic drill fire prevention proper fire extinguisher
