Level,Recommendations
1,curriculum committee sit en banc rearrange catalogue number bstm subject accordingly
1,chair dean review course syllabus prepared faculty sign properly
1,include term examination
1,orient student start semestral class subject enrol scope requirement grade system
1,discus content course syllabus provide student first day class
1,faculty author always indicate reference instructional manual author concerned
1,instructional manual specific subject always contain introduction subject syllabus append
1,mmsu administration consider send faculty member training module book write
1,faculty require attend seminarworkshop test construction
1,practicum report checkedreviewed faculty department tourism hospitality management come uniform format consider inclusion title hardbound cover acknowledgement biographical sketch table content list appendix
1,improve packaging document accreditation purpose
