Level,Recommendations
psv,site plantvicinity map near main gate campus instal
psv,student restroom must give due attention priority college clean green projectsactivities
psv,suggest come workable solution provision continuous sustainable clean safe free potable water student
psv,suggest continue construction cover path walk connect closely related building
psv,building co structed purpose nice relocate chalk board classroom allow light ventilation
psv,system devise institutionalize follow
psv,potability test drinking water b pest control infection c check electrical line
psv,segregation waste must collection disposal
psv,appropriate relevant support document term pictorial communication accomplishment reportsaction plan program listing duly sign provide
psv,room utilization guide post near entrance classroom
