Level,Recommendations
4,"['compliance', 'to', 'recommendations', 'for', 'phase', 'i', 'ii', 'level', 'iii', 'and', 'the', 'selfsurvey', 'is', 'highly', 'recommended']"
4,"['provision', 'of', 'sufficient', 'documents', 'per', 'indicator', 'in', 'each', 'parameter', 'is', 'suggested']"
4,"['unnecessary', 'documents', 'may', 'be', 'weeded', 'out', 'and', 'only', 'relevant', 'accurate', 'timely', 'and', 'complete', 'documents', 'may', 'be', 'included', 'in', 'the', 'appropriate', 'file', 'folders', 'to', 'support', 'the', 'different', 'benchmark', 'statements', 'in', 'the', 'instrument']"
4,"['proper', 'ear', 'tag', 'may', 'be', 'provided', 'in', 'the', 'file', 'folders', 'to', 'facilitate', 'the', 'evaluation', 'of', 'documents']"
4,"['review', 'individual', 'class', 'schedule', 'and', 'remove', 'the', 'straight', 'whole', 'day', 'especially', 'in', 'science', 'classes']"
4,"['the', 'number', 'of', 'students', 'per', 'class', 'as', 'stipulated', 'in', 'the', 'cmo', 'requirements', 'may', 'be', 'observed']"
4,"['review', 'and', 'improve', 'the', 'staff', 'development', 'plan', 'to', 'include', 'retirement', 'program', 'manpower', 'maintenance', 'and', 'its', 'prominent', 'scheme']"
4,"['specify', 'budget', 'for', 'manpower', 'development']"
4,"['encourage', 'all', 'faculty', 'to', 'do', 'research', 'and', 'extension', 'activities', 'through', 'sustainable', 'r', 'd', 'program']"
4,"['design', 'a', 'sustainable', 'gad', 'program', 'for', 'the', 'cas']"
