Level,Recommendations
3,"['it', 'is', 'recommended', 'that', 'an', 'award', 'scheme', 'be', 'implemented', 'by', 'the', 'administration', 'to', 'motivate', 'faculty', 'members', 'who', 'prepare', 'and', 'submit', 'for', 'materials', 'evaluation', 'by', 'the', 'imc', 'instructional', 'materials']"
3,"['instructional', 'materials', 'prepared', 'by', 'faculty', 'members', 'be', 'reviewed', 'and', 'recommended', 'for', 'use', 'by', 'the', 'university', 'instructional', 'materials', 'committee', 'before', 'using', 'in', 'the', 'classroom']"
3,"['sustain', 'the', 'passion', 'of', 'faculty', 'members', 'to', 'conduct', 'researches', 'for', 'presentation', 'and', 'publication', 'by', 'giving', 'incentives', 'like', 'deloading']"
3,"['conduct', 'career', 'guidance', 'for', 'incoming', 'first', 'year', 'students', 'for', 'them', 'to', 'know', 'more', 'of', 'the', 'bs', 'ceramic', 'engineering', 'program', 'or', 'the', 'college', 'or', 'administration', 'may', 'employ', 'strategies', 'to', 'entice', 'incoming', 'first', 'year', 'students', 'to', 'enroll', 'in', 'the', 'program']"
3,"['increase', 'the', 'retention', 'rate', 'of', 'the', 'bs', 'ceramic', 'engineering', 'students', 'by', 'conducting', 'remedial', 'or', 'review', 'classes', 'by', 'the', 'ceramic', 'students', 'organization', 'officers', 'and', 'members']"
3,"['improve', 'the', 'graduation', 'rate', 'of', 'students', 'by', 'implementing', 'effective', 'strategies', 'to', 'enhance', 'their', 'performances']"
3,"['the', 'mechanism', 'employed', 'to', 'determine', 'the', 'employability', 'of', 'graduates', 'of', 'the', 'bs', 'in', 'ceramic', 'engineering', 'graduates', 'be', 'made', 'more', 'effective']"
3,"['documentation', 'of', 'the', 'feedbacks', 'of', 'employers', 'of', 'bs', 'ceramic', 'engineering', 'graduates', 'and', 'direct', 'supervisors', 'on', 'the', 'onthejob', 'training', 'students', 'be', 'made', 'effective']"
3,"['issuance', 'college', 'or', 'department', 'policy', 'is', 'recommended', 'requiring', 'faculty', 'members', 'to', 'submit', 'at', 'the', 'beginning', 'of', 'the', 'semester', 'the', 'course', 'syllabi', 'of', 'the', 'subjects', 'to', 'be', 'taught', 'during', 'the', 'term', 'for', 'compilation', 'at', 'the', 'office', 'of', 'the', 'dean', 'dept', 'chair']"
3,"['faculty', 'members', 'of', 'the', 'other', 'departments', 'whose', 'program', 'is', 'not', 'subjected', 'for', 'accreditation', 'may', 'join', 'the', 'local', 'accreditation', 'task', 'force', 'of', 'programs', 'subjected', 'for', 'accreditation', 'so', 'that', 'each', 'faculty', 'member', 'may', 'handle', 'one', 'area', 'only', 'for', 'a', 'better', 'output', 'or', 'performance']"
3,"['students', 'requirements', 'submitted', 'to', 'subject', 'teachers', 'such', 'as', 'quizzes', 'term', 'examinations', 'long', 'quiz', 'tos', 'and', 'other', 'requirements', 'may', 'be', 'compiled', 'by', 'the', 'college', 'secretary', 'or', 'department', 'chair', 'for', 'ready', 'reference', 'and', 'for', 'accreditation', 'purposes']"
3,"['documentation', 'of', 'the', 'techniquesstrategies', 'to', 'enrich', 'instructionlearning', 'shall', 'be', 'properly', 'undertaken', 'and', 'kept']"
3,"['observation', 'of', 'classes', 'be', 'regularly', 'undertaken', 'by', 'the', 'department', 'chairdean', 'and', 'observation', 'forms', 'be', 'properly', 'accomplished', 'and', 'filed', 'at', 'the', 'deans', 'office', 'for', 'future', 'use', 'and', 'accreditation', 'purposes']"
3,"['strengthening', 'of', 'the', 'collegeacademic', 'unit', 'consortia', 'and', 'linkages', 'with', 'other', 'learning', 'institutions', 'for', 'academe', 'exchange', 'of', 'instructional', 'materials', 'is', 'recommended']"
3,"['documentation', 'of', 'varied', 'evaluation', 'measures', 'used', 'by', 'the', 'department', 'shall', 'be', 'regularly', 'and', 'properly', 'undertaken']"
3,"['all', 'documents', 'filed', 'as', 'accreditation', 'documents', 'must', 'be', 'properly', 'signed']"
3,"['unnecessary', 'documents', 'filed', 'for', 'some', 'parameters', 'stated', 'should', 'be', 'weeded', 'out']"
