Level,Recommendations
['psv'],"['it', 'is', 'highly', 'recommended', 'that', 'faculty', 'counterparts', 'should', 'attach', 'only', 'pertinent', 'supporting', 'documents', 'in', 'order', 'to', 'have', 'comprehensive', 'and', 'well', 'packaged', 'documentation', 'all', 'activities', 'of', 'the', 'college', 'should', 'be', 'documented', 'from', 'planning', 'up', 'to', 'implementation', 'stage']"
['psv'],"['students', 'should', 'not', 'be', 'neglected', 'in', 'the', 'policy', 'planning', 'activity', 'of', 'the', 'institution', 'and', 'of', 'the', 'college', 'specifically', 'on', 'policies', 'that', 'will', 'directly', 'affect', 'them']"
['psv'],"['filing', 'of', 'documents', 'in', 'the', 'record', 'management', 'office', 'should', 'be', 'more', 'organized', 'and', 'systematic', 'so', 'that', 'documents', 'can', 'easily', 'be', 'found', 'and', 'retrieved', 'when', 'needed']"
['psv'],"['to', 'maintain', 'the', 'standard', 'of', 'the', 'institution', 'it', 'is', 'recommended', 'that', 'different', 'specific', 'guidelines', 'and', 'policies', 'must', 'be', 'strictly', 'observed', 'and', 'implemented', 'regular', 'assessment', 'and', 'review', 'regarding', 'the', 'extent', 'of', 'its', 'implementation', 'should', 'be', 'done']"
['psv'],"['if', 'budget', 'allows', 'it', 'is', 'recommended', 'that', 'the', 'college', 'be', 'provided', 'with', 'full', 'time', 'laboratory', 'custodiantechnician', 'who', 'will', 'manage', 'and', 'maintain', 'equipment']"
['psv'],"['short', 'and', 'long', 'term', 'development', 'plans', 'should', 'be', 'monitored', 'and', 'evaluated']"
['psv'],"['different', 'social', 'activities', 'may', 'be', 'done', 'regularly', 'to', 'strengthen', 'the', 'harmonious', 'working', 'relationship', 'the', 'mmsu', 'family']"
['psv'],"['the', 'college', 'must', 'be', 'provided', 'with', 'specific', 'budget', 'allocation', 'for', 'its', 'operation']"
['psv'],"['facultys', 'honoraria', 'pay', 'for', 'the', 'excess', 'teaching', 'load', 'may', 'be', 'included', 'in', 'the', 'budget', 'preparations', 'so', 'that', 'this', 'can', 'be', 'released', 'on', 'time']"
['psv'],"['the', 'administration', 'should', 'formulate', 'promotional', 'schemes', 'to', 'attract', 'students', 'to', 'enroll', 'in', 'the', 'chemical', 'engineering', 'department']"
